T,Key,Название,Тип системы,Категория системы,Критичность,Статус
,SCH-229971,1С Управление микрофинансовой организацией Инвестпрофиль,1C,prod,non-critical,Используется
,SCH-229963,1С Управление микрофинансовой организацией К24,1C,prod,non-critical,Используется
,SCH-229954,1С Управление микрофинансовой организацией ОСМ,1C,prod,non-critical,Используется
,SCH-229941,1С.Управление задолженностью,1C,prod,critical,Используется
,SCH-258506,1С.Управление торговлей CASHTOYOU,1C,prod,critical,Используется
,SCH-258550,1С.Управление торговлей CREDIT2DAY,1C,prod,critical,Используется
,SCH-258507,1С.Управление торговлей ONECLICKMONEY,1C,prod,critical,Используется
,SCH-258502,1С.Управление торговлей SKORFIN,1C,prod,critical,Используется
,SCH-229931,1С.Управление торговлей ДС,1C,prod,critical,Используется
,SCH-256273,1С.Управление торговлей К24,1C,prod,critical,Используется
,SCH-192796,"1С.Управление торговлей ОСМ,CTY",1C,prod,critical,Используется
,SCH-229958,Active Directory,Active Directory,prod,non-critical,Используется
,SCH-258508,Active Directory CASHTOYOU,Active Directory,prod,non-critical,Используется
,SCH-258551,Active Directory CREDIT2DAY,Active Directory,prod,non-critical,Используется
,SCH-258509,Active Directory ONECLICKMONEY,Active Directory,prod,non-critical,Используется
,SCH-258505,Active Directory SKORFIN,Active Directory,prod,non-critical,Используется
,SCH-249347,Atlassian Confluence,WEB,prod,non-critical,Используется
,SCH-249346,Atlassian Jira,WEB,prod,non-critical,Используется
,SCH-229930,backend.dengisrazy.ru,WEB,prod,critical,Используется
,SCH-192818,backend.oneclickmoney.ru,WEB,prod,critical,Используется
,SCH-250144,C2D.Front.Dev,WEB,dev,other,Используется
,SCH-249917,Click2Offer,WEB,prod,non-critical,Используется
,SCH-229940,CreCon,C#,prod,critical,Используется
,SCH-229935,CTY.backend,WEB,prod,critical,Используется
,SCH-250143,CTY.Front.Dev,WEB,dev,other,Используется
,SCH-230950,DEV.DS.Front,WEB,dev,other,Используется
,SCH-229957,Drive.Front,WEB,prod,critical,Используется
,SCH-250208,Ds.ooo-kontrol.com,WEB,prod,non-critical,Используется
,SCH-250318,DWH,MSSQL/OLAP,prod,critical,Используется
,SCH-250322,DWH Credit2Day РЦ,MSSQL/OLAP,test/rc,other,Не используется
,SCH-250324,DWH OCM SPR,MSSQL/OLAP,prod,critical,Используется
,SCH-250325,DWH OCM SPR РЦ,MSSQL/OLAP,test/rc,other,Используется
,SCH-252844,DWH ДС,MSSQL/OLAP,test/rc,other,Используется
,SCH-250319,DWH ДС РЦ,MSSQL/OLAP,test/rc,other,Используется
,SCH-250315,DWH ОСМ,MSSQL/OLAP,prod,critical,Используется
,SCH-229955,DWH ОСМ РЦ,MSSQL/OLAP,test/rc,non-critical,Используется
,SCH-251645,E-Staff,WEB,prod,critical,Используется
,SCH-229947,Finbdrige.Front,WEB,prod,non-critical,Используется
,SCH-229944,Finbdrige.io.Front,WEB,prod,non-critical,Используется
,SCH-229943,Finbridge.academy2,WEB,prod,non-critical,Используется
,SCH-250211,Finsoyuz.ru,WEB,prod,non-critical,Используется
,SCH-258416,FMS (антифрод) C2D,MSSQL/OLAP,prod,critical,Используется
,SCH-258415,FMS (антифрод) CTY,MSSQL/OLAP,prod,critical,Используется
,SCH-258407,FMS (антифрод) DS,MSSQL/OLAP,prod,critical,Используется
,SCH-258414,FMS (антифрод) OCM,MSSQL/OLAP,prod,critical,Используется
,SCH-258541,FMS (антифрод) SF,MSSQL/OLAP,prod,critical,Используется
,SCH-229934,Front.cashtoyou.ru,WEB,prod,critical,Используется
,SCH-229936,Front.credit2day.ru,WEB,prod,critical,Используется
,SCH-229932,Front.dengisrazy.ru,WEB,prod,critical,Используется
,SCH-252852,front.feedback.oneclickmoney.ru,WEB,prod,critical,Используется
,SCH-256274,Front.kredito24.ru,WEB,prod,critical,Используется
,SCH-229933,front.old.dengisrazy.ru,WEB,prod,critical,Используется
,SCH-192838,Front.oneclickmoney.ru,WEB,prod,critical,Используется
,SCH-252838,Front.smartastore.ru,WEB,prod,critical,Используется
,SCH-252822,Front.uk-kvadra.ru,WEB,prod,non-critical,Используется
,SCH-250213,front.Vanklikmoney.ru,WEB,prod,non-critical,Используется
,SCH-250215,front.Vernaiamotivacia.ru,WEB,prod,non-critical,Используется
,SCH-229946,front.vip.finbridge.front,WEB,prod,non-critical,Используется
,SCH-250204,front.Zaimy-pts.ru,WEB,prod,non-critical,Используется
,SCH-252829,Front.zaimy-pts.ru,WEB,prod,critical,Используется
,SCH-250221,front.Новое-финансирование.рф,WEB,prod,non-critical,Используется
,SCH-250219,front.Союз-бизнес.рф,WEB,prod,non-critical,Используется
,SCH-257638,Front.стрим24.рф C2D,WEB,prod,critical,Используется
,SCH-257637,Front.стрим24.рф CTY,WEB,prod,critical,Используется
,SCH-257636,Front.стрим24.рф OCM,WEB,prod,critical,Используется
,SCH-252980,Front.стрим24.рф ДС,WEB,prod,critical,Используется
,SCH-250617,gms-beta.dengisrazy.ru,WEB,prod,critical,Используется
,SCH-229945,Job.finbridge.Front,WEB,prod,non-critical,Используется
,SCH-250200,Kangaria.ru,WEB,prod,critical,Используется
,SCH-252825,office.dengisrazy.ru,WEB,prod,critical,Используется
,SCH-250206,Ooo-kontrol.com,WEB,prod,non-critical,Используется
,SCH-252823,Passwork,WEB,prod,critical,Используется
,SCH-252828,Perco(СКУД),Без значений,prod,other,Используется
,SCH-229938,portal.dengisrazy.ru,WEB,prod,critical,Используется
,SCH-250202,Prioritet-org.ru,WEB,prod,non-critical,Используется
,SCH-257271,RC.1C Управление торговлей K24,1C,test/rc,other,Без значений
,SCH-231048,RC.1С Бухгалтерия БИТ ФИНАНС,1C,test/rc,other,Используется
,SCH-231049,RC.1С Бухгалтерия БИТ ФИНАНС FO,1C,test/rc,other,Используется
,SCH-231050,RC.1С Бухгалтерия БИТ ФИНАНС Гетполис,1C,test/rc,other,Используется
,SCH-231054,RC.1С Зарплата управление персоналом FO,1C,test/rc,other,Используется
,SCH-231052,RC.1С Зарплата управление персоналом ДС,1C,test/rc,other,Используется
,SCH-231056,RC.1С Корпоративный Университет,1C,test/rc,other,Используется
,SCH-231055,RC.1С САПОГ,1C,test/rc,other,Используется
,SCH-231053,RC.1С Управление микрофинансовой организацией К24,1C,test/rc,other,Используется
,SCH-231065,RC.1С.Управление задолженностью,1C,test/rc,other,Используется
,SCH-257265,RC.1С.Управление задолженностью К24,1C,test/rc,other,Используется
,SCH-252839,RC.1С.Управление задолженностью Контроль,1C,test/rc,other,Используется
,SCH-231046,RC.1С.Управление торговлей ДС,1C,test/rc,other,Используется
,SCH-231042,"RC.1С.Управление торговлей ОСМ,CTY",1C,test/rc,other,Используется
,SCH-231059,RC.Android CTY.Front,MobileApp (Android),test/rc,other,Используется
,SCH-231060,RC.Android DS.Front,MobileApp (Android),test/rc,other,Используется
,SCH-231061,RC.Android OCM.Front,MobileApp (Android),test/rc,other,Используется
,SCH-231057,RC.C2D.Front,WEB,test/rc,other,Используется
,SCH-231044,RC.CTY.backend,WEB,test/rc,other,Используется
,SCH-230957,RC.DS.Front,WEB,test/rc,other,Используется
,SCH-231070,RC.DS.portal,WEB,test/rc,other,Используется
,SCH-230949,RC.DS2.Front,WEB,test/rc,other,Используется
,SCH-231058,RC.Finbdrige,WEB,test/rc,other,Используется
,SCH-231067,RC.Finbdrige.io,WEB,test/rc,other,Используется
,SCH-231062,RC.iOS CTY.Front,MobileApp (iOS),test/rc,other,Используется
,SCH-231063,RC.iOS DS.Front,MobileApp (iOS),test/rc,other,Используется
,SCH-231064,RC.iOS OCM.Front,MobileApp (iOS),test/rc,other,Используется
,SCH-231068,RC.Job.finbridge.Front,WEB,test/rc,other,Используется
,SCH-231041,RC.OCM.backend,WEB,test/rc,other,Используется
,SCH-230945,RC.RTDS,WEB,test/rc,other,Используется
,SCH-230948,RC.RTDS.backend,WEB,test/rc,other,Используется
,SCH-231069,RC.vip.finbridge.front,WEB,test/rc,other,Используется
,SCH-230946,RC.WebDB,WEB,test/rc,other,Используется
,SCH-231051,RC.Документооборот 2.1,1C,test/rc,other,Используется
,SCH-230956,RC.Оффер.финбридж,WEB,test/rc,other,Используется
,SCH-231066,Report.1С.Управление задолженностью,1C,prod,non-critical,Используется
,SCH-231047,Report.1С.Управление торговлей ДС,1C,prod,non-critical,Используется
,SCH-231043,"Report.1С.Управление торговлей ОСМ,CTY",1C,prod,non-critical,Используется
,SCH-229939,RTDS,WEB,prod,critical,Используется
,SCH-230947,RTDS.backend,WEB,prod,critical,Используется
,SCH-229980,Sentry,WEB,prod,critical,Используется
,SCH-252798,SGRC R-vision,WEB,prod,non-critical,Используется
,SCH-253039,Test @test_notif,Без значений,dev,other,Без значений
,SCH-253038,Tets @tets,Без значений,test/rc,other,Без значений
,SCH-249778,VisualFronts,WEB,prod,critical,Используется
,SCH-229937,WebDB,WEB,prod,critical,Используется
,SCH-258742,WebDB SKORFIN,WEB,prod,critical,Используется
,SCH-252707,Zabbix,Без значений,prod,other,Без значений
,SCH-250320,DWH Credit2Day,MSSQL/OLAP,prod,critical,Используется
,SCH-249348,АТС Call DS,VoIP,prod,critical,Используется
,SCH-252853,АТС cc.oneclickmoney.ru (OCM CTY),VoIP,prod,non-critical,Используется
,SCH-252804,АТС Issabel (OCM CTY),VoIP,prod,non-critical,Используется
,SCH-250574,АУП.Периферийное оборудование,WEB,prod,other,Используется
,SCH-250573,АУП.Программное обеспечение,WEB,prod,other,Используется
,SCH-250217,Вернаямотивация.рф,WEB,prod,non-critical,Используется
,SCH-229962,Документооборот 1.4,1C,prod,non-critical,Используется
,SCH-252703,Другое,Без значений,prod,other,Без значений
,SCH-249914,Контент сервис,WEB,prod,non-critical,Используется
,SCH-252835,МП. C2D Android,MobileApp (Android),prod,critical,Используется
,SCH-252836,МП. C2D iOS,MobileApp (Android),prod,critical,Используется
,SCH-229975,МП. OCM Android,MobileApp (Android),prod,critical,Используется
,SCH-229976,МП.CTY Android,MobileApp (Android),prod,critical,Используется
,SCH-229979,МП.CTY IOS,MobileApp (iOS),prod,critical,Используется
,SCH-229974,МП.DS Android,MobileApp (Android),prod,critical,Используется
,SCH-229977,МП.DS iOS,MobileApp (iOS),prod,critical,Используется
,SCH-252837,МП.Finbridge Academy,MobileApp (Android),prod,non-critical,Используется
,SCH-229978,МП.OCM IOS,MobileApp (iOS),prod,critical,Используется
,SCH-249360,Офисы АУП. Электропитание без резерва,Электропитание без резерва,prod,non-critical,Используется
,SCH-249356,Офисы АУП. Электропитание с резервом,Электропитание с резервом,prod,critical,Используется
,SCH-249361,Офисы АУП.Интернет,Доступ в интернет,prod,critical,Используется
,SCH-249868,Платежный шлюз,WEB,prod,critical,Используется
,SCH-229959,Почта Exchange,E-mail,prod,non-critical,Используется
,SCH-229960,Почта Zimbra,E-mail,prod,non-critical,Используется
,SCH-250226,Сервис коротких ссылок,WEB,prod,non-critical,Используется
,SCH-250339,Сервис партнёров/постбэков,WEB,prod,critical,Используется
,SCH-250338,Сервис печатных форм,WEB,prod,critical,Используется
,SCH-250340,Сервис УПРИД,WEB,prod,critical,Используется
,SCH-252994,Сервис УПРИД ДС,WEB,prod,critical,Используется
,SCH-249779,СМС шлюз,WEB,prod,critical,Используется
,SCH-249443,Терминальная ферма,Remote Desktop,prod,critical,Используется
,SCH-258513,Терминальная ферма CASHTOYOU,Remote Desktop,prod,critical,Используется
,SCH-258552,Терминальная ферма CREDIT2DAY,Remote Desktop,prod,critical,Используется
,SCH-258514,Терминальная ферма ONECLICKMONEY,Remote Desktop,prod,critical,Используется
,SCH-258504,Терминальная ферма SKORFIN,Remote Desktop,prod,critical,Используется
,SCH-192848,Удаленный доступ КСПД (any connect),Удалённый доступ к КСПД,prod,critical,Используется
,SCH-231071,ЦБ.DS.portal,WEB,test/rc,other,Используется
,SCH-231045,ЦБ.OCM.backend,WEB,dev,other,Используется
,SCH-249369,ЦОД.Интернет,Доступ в интернет,prod,critical,Используется
,SCH-249615,ЦОД.Серверное оборудование,Инфраструктура,prod,critical,Используется
,SCH-252831,ЦОД.Сетевое оборудование,Инфраструктура,prod,critical,Используется
,SCH-249368,ЦОД.Электропитание,Электропитание с резервом,prod,critical,Используется
